,0,1,2
934,January 2016,dino001,"Drove CVT Legacy.  Good mileage, but the whining engine wasn't much pleasure.  Lots of noise, not much acceleration above 60 mph."
935,January 2016,nyccarguy,
936,January 2016,nyccarguy,
937,January 2016,nyccarguy,"Acuras are funny like that.  They sell cheap for new, but then they don't really depreciate.  TL SH AWDs which sold for what $35K when new the last 2 years of production still have asking prices as CPO cars in the high $20s to low $30K range."
938,January 2016,dino001,"I think at low end it is quicker than it feels, but once the ratios change at higher speeds, it really is sluggish.  But it can be worse - new Chrysler 200 I drove recently was just awful at highway speeds."
939,January 2016,sandman_6472,"NY, now you know why I really really like our A3, t really is a nice looking vehicle. Ours being the base model with the extra safety features besides the back-up camera the wife had to have, it's a great package. It feels like a more expensive vehicle than it is the minute you open the door. As much as I like my Golf, like the A3 even more and the white over black is nice, not a combo I'd choose though. Luckily, she's keeping the mileage down so when the time is right, I'd still have a lower mileage A3."
940,January 2016,graphicguy,"Acuras are funny like that.  They sell cheap for new, but then they don't really depreciate.  TL SH AWDs which sold for what $35K when new the last 2 years of production still have asking prices as CPO cars in the high $20s to low $30K range."
941,January 2016,andres3,Acura needs a TLX-S with the better 3.7 (vs. 3.5) tuned up to 330+ HP with proper transmission choices.  Or maybe they could turbocharge the old gem of a 3.0 V6.
942,January 2016,graphicguy,"Andres....unless there were some issues with CAFE standards, I really couldn't understand why Acura moved away from the 3.7.  That was a sweet motor...and truthfully, not all that old."
943,January 2016,circlew,I am having loads of fun with the Q50 in the snow!
944,February 2016,stever,"If you considered a small car but ended up buying something larger, a reporter wants to talk with you. Please email PR@edmunds.com by Friday, 2/5/16 with a few words about your decision including the make and model that you chose."
945,February 2016,sweendogy,"Funny or sad? It's February and infinit still selling the q50 as year 2015 new car, with no option for the 16 model - maybe they are skipping this year and will give the new engine a little later and call it a 2017?"
946,February 2016,brian125,sweendogy
947,February 2016,tlong,"That's one reason that even though I love driving German cars, I've just had enough of their service and parts prices. Over the years the amount of actual service needed in cars has gone way down - I remember the '70's where I had to replace plugs, oil, adjust valves, timing, replace points and condenser - every 6K miles! It was a VW Bug. But in those days that service at an independent cost like $60. Today you do almost none of those things and yet the service is hundreds of dollars."
948,February 2016,Michaell,$60 in 1975 is about $270 today
949,February 2016,roadburner,One of the main reasons that I have not strayed too far from BMW is the fact that my dealer has an excellent service department and doesn't try to push unnecessary work. I also get a 20% discount on both parts and labor.
950,February 2016,tlong,$60 in 1975 is about $270 today
951,February 2016,stickguy,"at the car show, my son did sit in the S3 again (bright red).  He still loves those, but knows it is out of scope still.  he has that as his ""next car"" still, with next car being the next one after the one he gets a year from now!"
952,February 2016,brian125,stick said
953,February 2016,stickguy,I think I read that they were doing a refresh on the 50 for 2016 (or 2017 now?)
954,February 2016,graphicguy,"Still love the TLX.  Really good cars, regardless of which measuring stick you use.  It's just not tops in any single category....except maybe bang for the buck!"
955,February 2016,flightnurse,"Greetings from sunny Phoenix..  Well the Auction week's are over here and what a event. The Barrett Jackson event is mind blowing on what they have. Here is a link to the top 25 cars sold at all of the auctions that happen, some of the most beautiful cars ever built. While we were there we meet a gentlemen who was in charge of getting the cars on stage, Rick and I will be drivers next year, very much looking forward to this. The process starts next month. Here is the URL for the cars.."
956,February 2016,stickguy,"for a LT relationship, a well-rounded performer with rock solid reliability is not a bad thing to have.  Likely better than one that ""wows"" in one area but comes with a lot of other compromises that can wear on you after a while?"
957,December 2015,andres3,"Yes, I much rely on one car to do it all, and I can't have breakdowns.  I don't have the time or money or patience.   My S4 was fixed same day I took it in; the leaky windshield washer fluid tank was actually a hose that came off of the headlight washer system that attaches to the tank.   Can I blame this on the body shop or Audi?  I think 90% chance the body shop is to blame since the leak was by the front of the car, 10% chance Audi should have made the hoses with better clamps."
958,December 2015,Mr_Shiftright,"Well that 80K marker doesn't mean something outright fails. It means it has become substandard. Many many people drive around quite contentedly with cars, that if subjected to inspection, could justify quite a few repairs. At 80K for instance, your car's struts still work fine, but they aren't anywhere as good as new, and a worn ball joint wouldn't exhibit any difference to the driver. Nor would mushy motor mounts, glazed fan belts, or cracked exhaust hangers."
959,December 2015,m6user,"That 80k mark was probably correct up to about twenty years.  Since the late 90s it seems that has stretched another 30k or so.  Heck, back in 60s and 70s you started having major repairs by 70k and a car over 100k was worth next to nothing."
960,December 2015,stickguy,
961,December 2015,Mr_Shiftright,"Yeah, I would expect a new-ish car to still be in pretty good shape at 80K. But parts do wear. Maybe the glove box door is as good at 80K as it was when new but parts that go round and round and up and down have to show wear at 80K.  And don't forget the psychological barrier of 99.9K miles and how that affects resale value. I think there is a mileage or number in people's heads as to when a car is ready for repairs.  Not sure what that number is, but 99,999 sounds about right."
962,December 2015,flightnurse,I have a co-worker who has a first year new Gen camero with 145K miles on it and no major repairs on it. Of course I told him now that he spoke about it openly he will have problems now with it.
963,December 2015,Mr_Shiftright,I bet we could find some
964,December 2015,graphicguy,"Perhaps some of that comes from having to replace serpentine belts, timing belts, etc at or near the 100K mile mark?"
965,December 2015,Mr_Shiftright,"Yes I think that's exactly right---usually 100K, or 90K, or maybe 105K,  is a big service and many people skip out before having to do that.  Also it's not unusual to need tires and brakes at that mileage, which are normal wear items.  I mean, how many sellers would do ALL those things and then sell the car?"
966,December 2015,roadburner,"Well, at the 182,370 mile Oil Service my son's X3 also needed two serpentine belts as well as rear pads and rotors. Oh the horror!!!"
967,December 2015,Mr_Shiftright,"Yeah, but not everyone with a miled up X3 has a knowledgeable dad to fix everything, nor do they have your good luck.  Remember, risk assessment is based on an actuarial. If you just interviewed 100 year old men you'd never predict actual life expectancy."
968,December 2015,roadburner,I don't think it's good luck- it's conscientious and consistent maintenance.
969,December 2015,Mr_Shiftright,"And that too! Of course, for that to really work it helps to buy the car new. I'm also conscientious but I've had to pay for the previous owner's neglect sometimes....or worse yet, for the factory's engineering gaffs."
970,December 2015,roadburner,"Well, the X3 was practically new; it had 16,500 miles on it and was just over a year old. You are absolutely right about prior owners; they can either enhance the reliability or ""poison the pond"" as it were."
971,December 2015,flightnurse,"This is why getting a CPO BMW or any other brand that offers free maintenance is usually a good bet, since the new owner doesn't pay for service and can be in and out of a service department in about 15 minutes."
972,December 2015,sandman_6472,"Am thinking that a CPO luxury level vehicle is the best way to buy one used since the company's have a certain check list of things that must be done besides an oil change and tire rotation. Personally, I'd have more confidence in purchasing a vehicle that has been CPO'd than one that hasn't and would be willing to pay a slight premium for it just knowing the odds are in my favor for a more pleasant ownership experience."
973,December 2015,markcincinnati,"Normally, I would want to address the following quote, amplify it or perhaps even counter the point -- Sandman speaks the truth. Perhaps the intent was to update the Hawthorne effect. You decide.  My experience is that if you are into it/them [cars] you will indeed take better care of them -- and be rewarded with reliability."
974,January 2016,roadburner,"In case anyone is interested, here is the most recent used oil analysis from my wife's X3(yes, she took it back and sent my son to SC in her old E90 328i- neither of us miss it"
975,January 2016,Mr_Shiftright,"Yes, some people don't realize that fuel contamination is an engine killer! Coolant contamination is certainly a bearing-eater."
976,January 2016,circlew,That X-3 looks like it's running very well.  Interesting to see this.  I never performed an oil sample analysis.
977,January 2016,sweendogy,
978,January 2016,stickguy,"one good thing about the luxo brands is the nice long warranty.  the dealer I have been keeping an eye on has had a number of 2 MY (even some 1 MY) used models, so we are talking 2-3 years elapsed max.  So 1-2 years BtoB + another 2 years powertrain left on it.  So while not certified, still plenty of coverage in case of any bugs it might have when you buy it."
979,January 2016,roadburner,A CPO car is only as good as the certifying dealer; I've bought 3 CPO cars from my local BMW dealer and they were all in excellent shape.
980,January 2016,sweendogy,
981,January 2016,sandman_6472,"I plan to look at Audi, MB and BMW next time and go the CPO route to insure a vehicle that should last a good amount of time. Will pounce on our A3 if she decides to get something else though as her mileage will be pretty low in a few years. If not, leaning towards BMW to see what the fuss is about."
982,January 2016,roadburner,"IMNSHO, your only sure bet to get a newer BMW that actually drives-at least a little-like a traditional BMW is to find a Sport/M Sport 2 Series, 3 Series, or 4 Series."
983,January 2016,nyccarguy,"I just got back from filling up my wife's Pilot to the tune of 14 mpg.  At the gas station I saw a guy pull up in an A3.  Black on Black.  Caught my eye enough to come home & build one on the Audi website.  2.0T Quattro Premium (AWD, Pano Roof, 6 Speed STronic) with optional hot seats & sport suspension.  Nice package for a $34,950 sticker price.   220 hp / 258 lb ft torque"
984,January 2016,stickguy,you would probably like this one too if B on B is your thing.  A bit more cushy.
985,January 2016,nyccarguy,
986,January 2016,stickguy,"one thing I would worry about, knowing some of the bombed out roads you drive on, is how tiring the ride/noise would get commuting in the WRX.  Seems like a much better ""fun"" car to me!"
987,December 2015,markcincinnati,Why would rear brakes be the first to go?  Seems counter-intuitive.
988,December 2015,andres3,Ferodo Street Sport pads.  Expensive? Yes.  Worth it? Yes.
989,December 2015,roadburner,Exactly.
990,December 2015,Mr_Shiftright,"Geez, that's BMW 7-series money."
991,December 2015,stickguy,Honda's for some reason had a phase where the rears wore out much quicker than the front.  I learned this when it happened to my Accord.
992,December 2015,nyccarguy,"Happened in my (former) TSX & our Pilot as well.  It doesn't make sense as the cars are platforms are FWD & the cars are nose heavy.  One service adviser at a Honda dealer told me it is because they put rear brake pads ""the size of oreo cookies"" on the cars."
993,December 2015,sda,"Are there other BMW dealers in your area?  If not, sounds like a captive audience and little chance for getting another quote unless an independent shop does the work."
994,December 2015,sda,"Same with my 06 Passat.  Rear pads replaced around 50k, rotors left intact and didn't need resurfacing.  Not sure this answer was correct but the service advisor told me there was more bias dialed to the rear brakes than in the past to take some of the stress off the front brakes. (?)"
995,December 2015,kyfdx,"Yeah.. my dealer quoted around $600 just to do the rear brakes on my '06 model BMW.    A lot of that is the OEM BMW rotors.   Really, really pricy.      I had my independent do the job with BMW pads and sensor, but with aftermarket rotors.  Saved about half."
996,December 2015,kyfdx,"It does seem that way, but typical for BMWs."
997,December 2015,robr2,"I've been told by techs that since front brakes do most of the work, the OEM brake pads on the rear are thinner.  The goal is so that all four wheels reach replacement at the same time.  The 2005 Passat I just traded had the rears done at 60K and all four were due to be done when I traded at 135K.  I never did the fronts in that time."
998,December 2015,henryn,My 2008 Passat got new brakes on the rear at around 99k miles.  The fronts were still good when I sold the car at around 105k.
999,December 2015,circlew,A while back we were discussing best engines....here's a new list from Wards 10 Best.
1000,December 2015,roadburner,"Interestingly, the B58 reverts back to a mechanical water pump. However, the timing chain/VANOS assembly is now located at the rear of the engine..."
1001,December 2015,sweendogy,I would also guess the rears would wear faster if you lived on a hill and used the parking break a lot - like my wife does. Maybe wrong on this but who knows - 30k miles and have to do rears hurts when you go to a Honda dealer. Glamor shot time
1002,December 2015,nyccarguy,Nice shot!
1003,December 2015,stickguy,"read the review in one of this month's car magazines on the new A4.  Sounded really nice.  Interior though seemed pretty familiar, but I suspect the fancy new dashboard screen is cool."
1004,December 2015,breld,"With the increased hp on the 2.0t and the DSG trannie, the new A4 does seem very competitive."
1005,December 2015,Mr_Shiftright,It's certainly getting some nice reviews.
1006,December 2015,flightnurse,Interesting engine choices from Nissan errr Infiniti
1007,December 2015,stickguy,actually sounds like they addressed some of the key issues.  I could be tempted by the 2.0t option!
1008,December 2015,roadburner,"My son brought his 2004 X3 2.5i home from college; it just turned over 182k miles. My wife has been letting him drive her E90 3er while he's home to keep excess miles off his truck. Funny thing; my wife and I both usually prefer light and nimble cars, yet we both like driving his sled more than her E90. I can't put my finger on why exactly- but there it is. Since he's had it at SC it has needed a new battery and a starter, but at that mileage I can't complain too much. The suspension is completely untouched; it's going to the dealer in a couple of days for an Oil Service so we will see if anything needs attention. Even if something does turn up I won't be that upset, as we bought it in 2005 and paid it off in 2007.  It would take a"
1009,December 2015,stickguy,I did the nursing an old car along long distance once.  Never again.  Plus the thought of my daughter calling me to say she broke down along the side of the DC beltway is terrifying!
1010,December 2015,roadburner,"Haven't had to do any nursing as I see it; and aside froma bit of interior wear it looks and drives like a car with one-fourth the actual mileage.,"
1011,December 2015,Mr_Shiftright,
1012,December 2015,m6user,"A lot of this is situational.  If you have 5 vehicles there is always a spare if one if one or two aren't available.  No long commutes or retired with time to spare.  Most depend greatly on one car and don't have the time or want to hassle with repairs.  It doesn't take a brain surgeon to understand that keeping a car for the very long term is cheaper.  However, money is not the only or even the main factor for many especially those that buy luxury cars."
1013,December 2015,Mr_Shiftright,"Sure it's cheaper because you have amortized the depreciation, and even $150 a month in repairs is 1/2 or 1/3rd a lease or car payment."
1014,December 2015,m6user,Sure it is.....who wants to hassle with repairs whether it's covered by warranty or not.  Number of recalls is also a factor.  Sure it gets fixed for free but can be a hassle if not done during routine maintenence.
1015,December 2015,Mr_Shiftright,"And then there are the dreadful cases of the dealer being unable to fix the car, even under warranty, or it requiring numerous attempts."
1016,December 2015,tlong,"My experiences don't match that - I usually don't find significant repair costs until around 120K, My Acura TL (2005) is at 155K right now and I had my first significant repair at around 130K, which was $1300 for some suspension work (control arms, etc.). And that has been about it other than the routine stuff. I also had a Jetta go to 143K, an Accord go way over 100K with no issues, and a Mercury Villager with the first big repair around 170K."
1017,December 2015,stickguy,331 at the wheels isn't enough?  Is everyone big daddy Don Garlits now?
1018,December 2015,roadburner,331 hp at the wheels is decent but nothing extraordinary.
1019,December 2015,Mr_Shiftright,"Less than one wants, more than one needs."
1020,December 2015,flightnurse,Please tell us how numbers can be conjurer?
1021,December 2015,Mr_Shiftright,"Seems like you can add in a correction factor prior to the pull or you can mess with  the pressure sensors. Some types of dynos would be easier to cheat on than others of course.   Dynos, after all, are a major sales tool."
1022,December 2015,flightnurse,"So you can't point to any one company but you are willing to post that we shouldn't trust these dyno runs because of ""possible"" issues? I highly doubt that BMS will post wrong info, they aren't a big company that could hire a PR firm to undo the damage of such wrong claims."
1023,December 2015,Mr_Shiftright,"I never implied anything of the sort with BMS.  Advising people to research data from impartial sources rather than the manufacturer seems like good advice to me, whether it's ""lasts three times as long as leading deodorant"" or ""highest interest CD available today"".  Consumer Reports built an empire on this very principle.  If a manufacturer's claims are substantiated they are rewarded."
1024,December 2015,flightnurse,"Did you read the article that I posted?  I don't think you did.... It was a Beta test, more testing to come."
1025,December 2015,flightnurse,Well since BMW quotes the power of the 340 to be at 320hp. I would think 331 is a excellent number.
1026,December 2015,roadburner,"It is a good number compared to the advertised hp, but 331 hp isn't all that extraordinary compared to a lot of other performance cars on the market. stickguy's comment made it sound as it 331 hp is some astronomical power number and it just"
1027,December 2015,Mr_Shiftright,
1028,December 2015,andres3,"I guess my sarcasm didn't come across.  I agree, a leaky washer fluid tank is hardly anything to worry about.  If that's the only thing that goes wrong in 37K miles, that's pretty excellent in my book."
1029,December 2015,flightnurse,I'm sure since the product is in beta testing we shall see more numbers to come.
1030,December 2015,Mr_Shiftright,"Swinging back to the topic of shopping entry level performance cars (but not forgetting what we were knocking about), I personally don't pay too much attention to numbers when shopping for a car. As many car enthusiasts know, there is a ""car's numbers"" and there's ""how a car performs in the real world"", and those two things can be very different."
1031,December 2015,graphicguy,Here...Here!  So true.
1032,December 2015,roadburner,"I look at 0-100 and 50-70 in-gear times to get a good idea of the overall power and flexibility of the drivetrain. That and responsive handling(with fairly high limits) are non-negotiable. I strongly prefer RWD and three pedals, although I can be persuaded by a decent DCT/DSG; ditto for AWD that actually"
1033,December 2015,stickguy,"Consumers reports probably is the most representative of real world times.  They drive like normal people.  Light changes, hit the gas!"
1034,December 2015,sweendogy,"General question...Has anyone had to do any repairs on these cars lately.? Brakes, tires anything non-oil change related. Reason for the ask wondering when I will have to go for brakes and dreading the potential cost. Knock on wood 27k miles not a gremlin to be found- also 430 mile round trip recently almost did a round tripper at 27mpg without a stop but wussed out as the gas light came on with over 2 gallons left. Any Color appreshaited"
1035,December 2015,nyccarguy,
1036,December 2015,Mr_Shiftright,I'd bet you could get that done at a very good indie shop for under $1000.
1037,December 2015,markcincinnati,"Agree regarding finding a well qualified shop -- one that specializes in your brand, for these cars are breathtakingly expensive to maintain and repair after the OEM warranty/""free"" service period expires."
1038,December 2015,roadburner,"At my BMW dealer I get a 20%  discount on service as well as the parts and accessories I pick up for DIY projects. My Mazda dealer usually has a coupon I can use, and of course they also gave me free oil changes for as long as I own the car. I also have a few indie shops I can use that do excellent work."
1039,December 2015,sweendogy,Thank you community for the answers - much appreciated. I will look Indi as I have a service due in another 3500 miles or so. Has any Audi or s4 owner had to do brakes yet? Or BMW person ? If so mileage at time of service would be appreciated
1040,December 2015,Mr_Shiftright,"I could get you a quote from a California Audi shop, which of course will reflect our labor rates. I don't remember where you are residing, sorry."
1041,December 2015,nyccarguy,He's in MA which most likely has high labor rates just like CA
1042,December 2015,roadburner,"1995 318ti Club Sport: Front pads- 56,676 miles, F/R pads+rotors- 103,122 miles"
1043,December 2015,markcincinnati,I've had two A6's have their brakes replaced and I have the wear pattern progression of both my wife's SQ5 and my S4.  She has over 50K on hers and the dealer says she'll probably need new REAR brakes in less than 10K miles from now. Not sure what that means with respect to when the FRONT brakes would need replacing.
1044,December 2015,roadburner,"They fed you a line; when my BMW dealer replaced the rear pads on my son's X3 at 132,214 miles I was told that the rear rotor thickness was within BMW specs and replacement was not required."
1045,December 2015,markcincinnati,For ALL FOUR WHEELS?
1046,December 2015,markcincinnati,"Clarification -- new rotors were only required, so they said, if the pads were being replaced.  Can't imagine what other conditions besides a brake rotor and/or brake pad replacement are even possible.  The good news, they did it at no charge."
1047,December 2015,roadburner,Yep...
1048,December 2015,markcincinnati,
1049,December 2015,qbrozen,"That just doesn't apply anymore, otherwise I am a poseur because I bought my 135i with the auto to get around the track faster."
1050,December 2015,kyfdx,"That just doesn't apply anymore, otherwise I am a poseur because I bought my 135i with the auto to get around the track faster."
1051,December 2015,stickguy,"Taking it on a racetrack also counts as not ""wearing"" the car."
1052,December 2015,roadburner,"I wasn't agreeing about automatics in general, it was only with respect to 320i buyers. I'm always reminded of the idiot I met at my dealer's F30 intro party. Some of us were talking about the F30's potential track capability and one poor fool chimed in to say that he would"
1053,December 2015,flightnurse,"I agree to a point, however, BMW offers factory performance upgrades, I'm sure BMS and others do the same thing these factory upgrades do, more boost, timing, fuel/air mixture."
1054,December 2015,flightnurse,"The Sport Package on the 320i is really a great package, give you all the suspension parts , seats, and steering wheel (M Sport) wheels and tires plus for the first time the 320i can be had with the M Sport Adjustable suspension, this is part of the track package. When it comes to leasing, a 328i with the same packages as the 320i, will lease for less money or slightly more. So the 328i over all is a better value."
1055,December 2015,dino001,"But some people want to have it just the way it is - for them this mix of performance, reliability and gas mileage is just right, not some chipped stuff. Want more performance (power, suspension), less mileage, more wear (on tires, brakes) and lower factor of safety, got pay up, plain and simple."
1056,December 2015,Mr_Shiftright,"Exactly...if you order mods from BMW, you are making a choice about what you are getting and what you might be giving up."
1057,December 2015,flightnurse,"ANd people want more, so your point is?"
1058,December 2015,roadburner,"Count me in as one who modifies their cars and who has yet to find a down side(with the exception of my first car, where I added a cam with about ten degrees too much duration). My M6 received a Dinan chip while my Club Sport has a Turner/Conforti chip; it has over 140k on it. My MS3 makes over 60 hp more than stock via a Mazdaspeed intake and a Hypertech tune- and it has 157k on it."
1059,December 2015,dino001,"You say that, but yor statement violates basic principles of engineering.  You essentially say you found a way to get something for nothing, no energy in, more energy out, by a wave of a wand.  I wish I could do it in structural design, but I can't."
1060,December 2015,roadburner,"My MS3 gets the same mileage as it did prior to installing the tune; there's no magic involved- the tune modifies the ignition advance, fueling, and boost primarily at higher rpm and throttle openings. At cruise the car is running on what is essentially the stock map, with perhaps a bit more spark advance dialed in."
1061,December 2015,dino001,"But how about reliability, longevity?  Can you say with certainty, it's unchanged?  Noise, wear, low end vs. high end torque.  I suppose it's possible that current factors of safety are so high that the lowering them does not bring appreciable differences.  I just caution against ""it's all free"" attitude.  In nature, nothing is free.  You always pay somewhere.  Engineering is an act of balancing competing interests, as people have different interests, it will result in different products, but everything comes with a price."
1062,December 2015,qbrozen,"Sure, it doesn't affect fuel economy...unless you actually use that extra power, at which point, why tune it at all? So, yes, it does increase fuel usage when you are utilizing those extra ponies. Nothing wrong with that."
1063,December 2015,kyfdx,"I think that the engineers that design the car could tell you, on a statistical basis, what the likelihood is."
1064,December 2015,dino001,"Well said.  There is no way of saying with certainty that an individual vehicle broke because of the mods.  However, the statistics and principles of physics say that the probability of such failure increased, it could be by a little or a lot, depending on how big the mod was, how the car was driven, etc."
1065,December 2015,roadburner,"I think it depends on the vehicle as well as the power increase that is sought. On my modified cars I have only pursued modest gains in horsepower/torque. Those gains might erode the reliability at the margin, but not to any significant extent. UOAs consistently indicate that the engines in my MS3 as well as my Club Sport are in excellent shape, so I'm not losing any sleep over the tweaks the cars have received."
1066,December 2015,Mr_Shiftright,"I suspect the longevity of your cars relate much more to the high level of maintenance you give them then to the alleged benign nature of the modifications. Also I am sure you would agree that not all chips are engineered to a high standard, and that the consumer who is shopping price rather than reputation may end up with some rather bad results."
1067,December 2015,flightnurse,"I believe BMW and for that matter most sport car manufactures have engineered their engines to perform with added stress and still be reliable, I asked this before and you and others haven't comments.. BMW markets the MPK and MPE for their cars, if it would cause added stress and lower reliability why would they make them and warrens them? Maybe they know the engines can take it?  Nah that can't be it."
1068,December 2015,dino001,"You're missing my point entirely.  It's not if they can take it, it's which configuration is optimal for certain position in the market, considering all factors.  Apparently they believe factory configuration represents a better mix for the market.  You say they warrant those mods.  Just because it keeps the warranty, doesn't mean it's equally reliable.  Do you know what portion of that price is set aside for the warranty?  I don't. What I know are principles behind the engineering and they teach me nothing is free, everything is a tradeoff.  Small, or large."
1069,December 2015,flightnurse,"Dino I'm sorry you can't grasp the idea that the extra HP from the chips haven't reduced reliability, even Roadrunner has stated he has no problems with 154K miles on a car.  All my motorcycles engine have modifications and have been stone reliable."
1070,December 2015,Mr_Shiftright,"I don't think he missed the point. I think he's making another point. Maybe we could look at it this way. If it was simple and cheap to give a Mazda 3 some 60 more HP, why wouldn't Mazda just do that? It would give them a tremendous edge on the competition and would make the car the darling of the auto magazines. The Mazda engineers must have been weighing something other than cost in this decision. After all, Mazda could build those mods you made for a fraction of what it cost you."
1071,December 2015,stickguy,"heck, the BMW tune is ""free"" to BMW since they have the computer in there anyway.  So it seems like a no brainer to give the car all the extra power for the same price."
1072,December 2015,qbrozen,"Because it is a limited warranty. It is a modest gain in power in those instances and they only need to cover it for 50k, 60k, or what have you. They may know, just for example, the unmodded engines can go 150k, while the modded ones go 120k. Either is certainly covered by warranty, but they'd rather have more of the 150k cars running around to uphold some face. If they made strictly vehicles that only lasted just past their warranty, it wouldn't bode well for their reputation."
1073,December 2015,dino001,
1074,December 2015,roadburner,"Both the Mazdaspeed Intake as well as the Hypertech Sport Tuner have CARB approval. As to why Mazda didn't sell the car that way from the get-go? In the case of the intake I'd say probably it's due to the fact it uses a washable filter, is a bit louder, and requires a bit more effort to access the filter. As for the tune, Mazda actually did offer a tune on the Australian 3 MPS Extreme, which boosted power by 18 hp  and torque by 33 lb-ft."
1075,December 2015,flightnurse,"So the numbers are in on the new BMW 340. BMS just Dynoed one, 331 to the wheels, it's quoted as making 320hp.. Now with the new Beta version of the BMS JB4 it makes 379hp at the wheel, that is with pump premium unleaded. a nice 48hp jump with a +3 lbs of boost.."
1076,December 2015,Mr_Shiftright,"yeah, but.....dynos are not absolute numbers, they can be conjurer's tricks. I'd like to see results from say three independent dynos.  I can make a dyno give you any number you pick.  There are a number of videos on YouTube in which dyno claims are tested---some prove true, some miss the mark."
1077,November 2015,stickguy,well.  could be something interesting to consider in 2 years when my Sonata goes back!
1078,November 2015,sweendogy,Flight nice color combo with the tints look sharp - how bout some shots of the boot
1079,November 2015,roadburner,"My dealer took in a 2012 135i M Sport(LeMans Blue/Alaska Gray) with most every option- including DCT- unfortunately. It is CPO, however and has only 12k miles on it. May yet look at it, but right now the '15 STI is still at the top of my list..."
1080,November 2015,Mr_Shiftright,Not the first automaker to make a claim against BMW 3-series crown.  We'll see....................
1081,November 2015,flightnurse,"More photo to follow. The 1 series just looked too odd to me, the 2 series I can live with"
1082,November 2015,sandman_6472,"And I prefer the 1 Series because I like a small vehicle. Saw one in blue that looked really nice but white really is the perfect color for this vehicle. Looks very sharp in white. Would truthfully like one of those after i trade the Golf down the road. Really is the perfect size for me and prefer a two door vehicle now. And by then, all the chicks will have flown the nest so affording one won't be an issue. Might as well enjoy ourselves in retirement and leave them all a little less!!"
1083,November 2015,roadburner,"The proportions of the 1er are a bit odd, but I find it to be an entertaining drive(DCT notwithstanding). The 2er is a nicely styled car, but so far I've been extremely underwhelmed behind the wheel."
1084,November 2015,flightnurse,"I ordered a BMS stage 1 for Ricks 328i and it arrived Friday, even though I have been under the weather, I spent a whole 20 minutes installing it. It made a big difference with my 320, it really has made a HUGE difference in Ricks 328i. According to BMS the stage 1 increases 40 HP, and 50lbs of torque I do not doubt that."
1085,November 2015,carnaught,"FN, does it affect one's warranty?"
1086,November 2015,nyccarguy,Yes
1087,November 2015,flightnurse,"It could if BMW would find the modification is the cause of the issue, however, the BMS makes less HP then the Dinan upgrade. I've had it on my car not for two years without problem, and so far I haven't read anyone having problems with it in their BMWs."
1088,November 2015,Mr_Shiftright,"There's probably an effect over time, since there is more stress on components from both increased HP and no doubt, more aggressive driving, but maybe that just means a new X part at 80K rather than 100K. Seems like a low risk item, and BMW owners have confidence in Berger. Naturally, they sell this tune only for offroad use only and won't ship to California of course.  It would be interesting to measure how much ""dirtier"" your engine becomes.  They're basically messing with boost, timing and mixture, so it must affect emissions in some respects."
1089,November 2015,flightnurse,Dinan get about 50 more HP and charge $1500... Steve Dinan stated that BMW engines are good to about 15% more HP without putting added stress on the engine. But their tune add's much more then 15%.
1090,November 2015,Mr_Shiftright,"That sounds about right, and he should know.  No ""tune"" is for free, something has to be given away."
1091,November 2015,kyfdx,
1092,November 2015,dino001,"You mean I can't put 200 hp blower, race it every weekend and expect the engine and transmission last for million miles?  What an outrage"
1093,November 2015,roadburner,Steve's license is always hanging by a thread; I think he has taken every traffic school offered in California. Satch knows a few good stories about him...
1094,November 2015,flightnurse,There is another Steve in Calif who builds cars for Ford and uses Fords engines in his cars that has a license issue.
1095,November 2015,flightnurse,Well I am entitled to do that AND have BMW pay for the repairs.
1096,November 2015,roadburner,My son and I met Steve Saleen at a car show several years ago; a really nice guy- he autographed several posters and brochures for my son.
1097,November 2015,nyccarguy,I distinctly remember having this discussion before.
1098,November 2015,flightnurse,"Brad you are missing the point, BMW knows that people will chip their cars and have a safety net built in regarding added HP. I do not think the BMS stage 1 will cause the engine to be less reliable then a stock engine. I have 38K miles on my 320i and ever have had an engine issue or code thrown. OF course there are those with 320i's who are really pushing those engines making upwards of 300hp. I would assume that BMW, Audi and any manufacture with a turbo engine would assume a certain percentage of owners would ""chip"" their cars to get the extra HP from them. If they don't, then they aren't being realistic."
1099,November 2015,Mr_Shiftright,"There comes a time in the quest for HP when, if you want a faster car, you should go out and buy a faster car."
1100,December 2015,nyccarguy,
1101,December 2015,flightnurse,"I made a mistake when I bought my 320i, I should have gotten a 328i. Listen learned... I almost pulled a trigger on a BMW Loaner, basically it was a fully loaded 328i, M Sport, Tech, DHP, Premium, Drivers Assistance package, heated seats. It only had 4K miles on it, MSRP was 52K, final sale price was $44K, but I would have had to roll about 9K into the deal, lease payments would have been about 576/m with zero out of pocket. decided not to do it. I'll tough it out until Oct 2017 when we a another ED. I like the M2, but I think it will  be small, I'm hoping that BMW will build a M4 Grand Coupe for 2018, if not then a 440i Grand Coupe it shall be, with the MPPK, and MPE, which makes more HP then the BMW stage 1."
1102,December 2015,flightnurse,"Yes, before I put the BMS on Rick's 328, I did back to back rides, and even though the GT is heavier it felt faster. Now that the GT has the BMS, it is much faster then my 320i."
1103,December 2015,sweendogy,Couple of things what is BMS? (My wife gets the other MS monthly)
